"35.11 Nederlands reisdocument","35.12 Omschrijving","99.98 Datum ingang","99.99 Datum einde"
"..","Onbekend","","",""
"BJ","Identiteitskaart (toeristenkaart) BJ","19920401","19950101",""
"EK","Europese identiteitskaart","19950101","20011001",""
"IA","Identiteitskaart (toeristenkaart) A","","19920101",""
"IB","Identiteitskaart (toeristenkaart) B","","19950101",""
"IC","Identiteitskaart (toeristenkaart) C","","19920101",""
"ID","Gemeentelijke Identiteitskaart","19930101","19950101",""
"KE","Kaart met paspoortboekje, 64 pag.","19920101","19920101",""
"KN","Kaart met paspoortboekje, 32 pag.","19920101","19920101",""
"KZ","Kaart zonder paspoortboekje","19920101","19920101",""
"LP","Laissez-passer","19950101","",""
"NB","Nooddocument (model reisdocument vreemdelingen)","19950101","20010401",""
"NI","Nederlandse identiteitskaart","20011001","",""
"NN","Noodpaspoort (model nationaal paspoort)","19950101","",""
"NP","Noodpaspoort","","19950101",""
"NV","Nooddocument (model reisdocument vluchtelingen)","19950101","20010401",""
"PB","Reisdocument voor vreemdelingen","","",""
"PD","Diplomatiek paspoort","","",""
"PF","Faciliteitenpaspoort","","",""
"PN","Nationaal paspoort","","",""
"PV","Reisdocument voor vluchtelingen","","",""
"PZ","Dienstpaspoort","","",""
"R1","Reisdocument ouder1","20010201","20120626",""
"R2","Reisdocument ouder2","20010201","20120626",""
"RD","Reisdocument voogd","","20120626",""
"RM","Reisdocument moeder","","20010201",""
"RV","Reisdocument vader","","20010201",""
"TE","Tweede paspoort (zakenpaspoort)","19920401","",""
"TN","Tweede paspoort","19920401","",""
"ZN","Nationaal paspoort (zakenpaspoort)","19920401","",""