"93.10 Afnemersaanduiding","93.11 Omschrijving"
"Advent","Nederlandse Vereniging van Zevendedags Adventisten"
"AMF","Algemeen Mijnwerkersfonds van de Steenkolenmijnen in Limburg"
"AngEpisc","Gemeente der Anglicaanse Episcopale Kerk"
"Anthrop V","Anthroposofische Vereniging in Nederland"
"Ap","Apostolische Gemeente"
"ApGen","Apostolisch Genootschap"
"Bapt","Baptisten"
"BP","Buitengewone Pensioenraad"
"BV01","Agrarisch Bedrijf"
"BV02","Zuivelindustrie"
"BV03","Bouwnijverheid"
"BV04","Hout- en meubelindustrie"
"BV05","Textielindustrie"
"BV06","Kledingindustrie"
"BV07","Leder- en lederverwerkende industrie"
"BV08","Grafische industrie"
"BV09","Steen-, cement-, glas- en keramische industrie"
"BV10","Metaalindustrie en elektrotechnische industrie"
"BV11","Kleinmetaalnijverheid"
"BV12","Mijnindustrie"
"BV13","Chemische industrie"
"BV14","Tabakverwerkende industrie"
"BV15","Meelverwerkend bedrijf, alsmede suikerverwerkende en cacaoverwerkende industrie"
"BV16","Slagers- en vleeswarenbedrijf"
"BV17","Voedings- en genotmiddelenindustrie"
"BV18","Detailhandel en ambachten"
"BV19","Haven- en aanverwante bedrijven, binnenscheepvaart en visserij"
"BV20","Koopvaardij"
"BV21","Vervoer"
"BV22","Hotel-, restaurant- en cafébedrijf, pensioenbedrijf en aanverwante bedrijven"
"BV23","Gezondheid, geestelijke en maatschappelijke belangen"
"BV24","Overheidsdiensten"
"BV25","Bank- en verzekeringswezen, groothandel en vrije beroepen"
"BV26","Overige takken van bedrijf en beroep"
"BV50","Gemeenschappelijke Administratiekantoor (GAK)"
"BV68","Bedrijfsvereniging voor de Detailhandel, Ambachten en Huisvrouwen"
"BV73","Bedrijfsvereniging voor de Gezondheid, Geestelijke en Maatschappelijke Belangen"
"BZ","Ministerie van Binnenlandse Zaken, Hoofdafdeling Pensioenen en Wachtgelden"
"ChGemRV","Christengemeenschap Beweging tot Religieuze Vernieuwing"
"ChrAfg","Christelijk Afgescheiden Gemeente"
"ChrEv","Christelijk Evangelische Gemeente"
"ChrGer","Christelijke Gereformeerde Kerken"
"ChrGerGem","Christelijke Gereformeerde Gemeente"
"ChrSc","Christian Science"
"D","Kanselarij der Nederlandse Orden"
"DEv","Duits-Evangelische Gemeente"
"DG","Doopsgezinde Gemeente"
"DPL","Ministerie van Defensie, Directie Dienstplichtzaken"
"DVr","Kanselarij der Nederlandse Orden"
"EngPresb","Engelse Presbyteriaanse Gemeente"
"EthOrth","Ethiopisch Orthodox"
"EvBrGem","Evangelische Broedergemeente"
"EvGem","Evangelische Gemeente"
"EvL","Evangelisch Luthers Kerkgenootschap"
"GedChr","Gemeente van Gedoopte Christenen"
"GerGem","Gereformeerde Gemeente"
"GerK","Gereformeerde Kerken in Nederland"
"GerKvrij","Gereformeerde Kerk"
"Gero/hKr","Gereformeerde Gemeente Onder het Kruis"
"GPMB","Geredja Protestant Maluku di Belanda"
"GPMDD","Geredja Protestant Maluku Djama 'at Darurat"
"GPMT","Geredja Protestant Maluku Tenggara"
"GriOrth","Grieks Orthodox"
"HAZ","Gemeente der Herstelde Apostolische Zendingskerk"
"HAZEA","Hersteld Apostolische Zendingsgemeente in de Eenheid der Apostelen"
"HdlDag","Kerk van Jesus Christus van de Heiligen der Laatste Dagen (Mormonen)"
"HEvL","Hersteld Evangelisch Luthers Kerkgenootschap"
"Hindoe","Hindoe"
"HumV","Humanistisch Verbond"
"IndProtK","Indisch Protestantse Kerk"
"JehGet","Jehovah's Getuigen"
"LdH","Leger des Heils"
"LI","Liberaal Joodse Gemeente"
"Moh","Mohammedaans Kerkgenootschap"
"MolEvK","Molukse Evangelische Kerk"
"NedGer","Nederlands Gereformeerd"
"NH","Nederlandse Hervormde Kerk"
"NI","Nederlands Israëlitisch Kerkgenootschap"
"NLdH","Nederlandse Leger de Heils"
"NProtB","Nederlandse Protestanten Bond"
"NSK","Nederlands Spiritueel Kerkgenootschap"
"NwApK","Nieuw-Apostolische Kerk in Nederland"
"OBisCl","Kerkgenootschap der Oud-Bisschoppelijke Cleresie"
"OGerGem","Oud Gereformeerde Gemeente"
"OGerK","Oud Gereformeerde Kerk"
"OrthKath","Orthodox Katholieke Kerk"
"PE","Ministerie van Financiën, Bureau Erediensten en Algemene Zaken"
"PI","Portugees Israëlitisch Kerkgenootschap"
"PinkGem","Pinkstergemeente"
"PK","Stichting Administratie Indonesische Pensioenen (PI uit vak 23)"
"PKol","Stichting Administratie Indonesische Pensioenen"
"PKold","Stichting Administratie Indonesische Pensioenen"
"PL","Ministerie van Defensie, Dienst Zorg Postactieve Militairen"
"PLK","Raad voor de Kinderbescherming, binnen welks ressort de gemeente is gelegen"
"PNS","Spoorwegpensioenfonds"
"PP","Algemeen Burgerlijk Pensioenfonds, Hoofd van de Afdeling Pensioengerechtigden"
"PS","Min. v. V&W, DG Scheepvaart en Maritieme Zaken, Afd. Soc. en Onderwijszaken"
"PZ","Ministerie van Defensie, Dienst Zorg Postactieve Militairen"
"Quaker","Genootschap der Vrienden"
"RA","Raad van Arbeid, binnen welks ressort de gemeente is gelegen"
"RA NU","Raad van Arbeid, binnen welks ressort de gemeente is gelegen"
"Rem","Remonstrantse Broederschap"
"RK","Rooms Katholiek Kerkgenootschap"
"RosFel","The Rosicrusian Fellowship"
"RozKr","Het Rozekruizers Genootschap"
"RusOrth","Russisch Orthodox"
"RVB","Sociale Verzekeringsbank"
"RvK","Raad voor de Kinderbescherming, binnen welks ressort de gemeente is gelegen"
"SchGem","Schotse Gemeente"
"Soefi","Soefi-beweging"
"SOK","Syrisch Orthodoxe Kerk"
"SVB","Sociale Verzekeringsbank"
"Swed","Swedenborgianen"
"SZ","Min v. SZW, Centrale Afdeling Financiëel-Economische Zaken"
"ThGem","Theosofische Gemeente"
"VergGel","Vergadering der Gelovigen"
"VR","Raad voor de Kinderbescherming, binnen welks ressort de gemeente is gelegen"
"VrEv","Vrije Evangelische Gemeente"
"VrGer","Vrije Gereformeerde Gemeente"
"VrKath","Vrije Katholieke Kerk"
"WGem","Waalse Gemeente"
"ZendGem","Zendingsgemeente"